sim_time,nodes,services,generated_traffic_B,average_traffic_Bps
25400,20,1000,5940,45.29055118110236
25500,20,1000,5940,45.345882352941175
25600,20,1000,6930,45.439453125
25700,20,1000,6930,45.532295719844356
25800,20,1000,5940,45.586046511627906
25900,20,1000,5940,45.639382239382236
26000,20,1000,5940,45.69230769230769
26100,20,1000,5940,45.744827586206895
26200,20,1000,5940,45.796946564885495
26300,20,1000,5940,45.84866920152091
26400,20,1000,6930,45.9375
26500,20,1000,6930,46.02566037735849
26600,20,1000,5940,46.07593984962406
26700,20,1000,5940,46.12584269662921
26800,20,1000,5940,46.17537313432836
26900,20,1000,5940,46.22453531598513
27000,20,1000,5940,46.27333333333333
27100,20,1000,5940,46.321771217712175
27200,20,1000,6930,46.40625
27300,20,1000,6930,46.49010989010989
27400,20,1000,5940,46.53722627737226
27500,20,1000,5940,46.584
27600,20,1000,5940,46.630434782608695
27700,20,1000,5940,46.67653429602888
27800,20,1000,5940,46.72230215827338
27900,20,1000,5940,46.76774193548387
28000,20,1000,6930,46.848214285714285
28100,20,1000,6930,46.92811387900356
28200,20,1000,5940,46.97234042553192
28300,20,1000,5940,47.01625441696113
28400,20,1000,5940,47.059859154929576
28500,20,1000,5940,47.10315789473684
28600,20,1000,5940,47.146153846153844
28700,20,1000,5940,47.18885017421603
28800,20,1000,6930,47.265625
28900,20,1000,6930,47.34186851211073
29000,20,1000,5940,47.38344827586207
29100,20,1000,5940,47.424742268041236
29200,20,1000,5940,47.465753424657535
29300,20,1000,5940,47.506484641638224
29400,20,1000,5940,47.546938775510206
29500,20,1000,5940,47.58711864406779
29600,20,1000,6930,47.660472972972975
29700,20,1000,6930,47.733333333333334
29800,20,1000,5940,47.77248322147651
29900,20,1000,5940,47.8113712374582
30000,20,1000,5940,47.85
30100,20,1000,5940,47.88837209302326
30200,20,1000,5940,47.92649006622516
30300,20,1000,5940,47.964356435643566
30400,20,1000,6930,48.03453947368421
30500,20,1000,6930,48.104262295081966
30600,20,1000,5940,48.141176470588235
30700,20,1000,5940,48.17785016286645
30800,20,1000,5940,48.214285714285715
30900,20,1000,5940,48.25048543689321
31000,20,1000,5940,48.28645161290323
31100,20,1000,5940,48.32218649517685
31200,20,1000,6930,48.38942307692308
31300,20,1000,6930,48.456230031948884
31400,20,1000,5940,48.49108280254777
31500,20,1000,5940,48.52571428571429
31600,20,1000,5940,48.56012658227848
31700,20,1000,5940,48.594321766561514
31800,20,1000,5940,48.62830188679245
31900,20,1000,5940,48.66206896551724
32000,20,1000,6930,48.7265625
32100,20,1000,6930,48.790654205607474
32200,20,1000,5940,48.82360248447205
32300,20,1000,5940,48.856346749226006
32400,20,1000,5940,48.888888888888886
32500,20,1000,5940,48.92123076923077
32600,20,1000,5940,48.953374233128834
32700,20,1000,5940,48.98532110091743
32800,20,1000,6930,49.047256097560975
