sim_time,nodes,services,generated_traffic,traffic_per_minute
18674,20,1000,0,947.9061797151119
18675,20,1000,0,947.855421686747
18676,20,1000,0,947.8046690940245
18677,20,1000,0,947.7539219360712
18678,20,1000,0,947.7031802120141
18679,20,1000,0,947.6524439209808
18680,20,1000,9900,948.1316916488223
18681,20,1000,0,948.0809378512928
18682,20,1000,0,948.0301894872069
18683,20,1000,0,947.9794465556923
18684,20,1000,0,947.9287090558767
18685,20,1000,0,947.8779769868879
18686,20,1000,0,947.827250347854
18687,20,1000,0,947.7765291379034
18688,20,1000,0,947.7258133561644
18689,20,1000,0,947.6751030017657
18690,20,1000,9900,948.1540930979133
18691,20,1000,0,948.1033652560055
18692,20,1000,0,948.0526428418575
18693,20,1000,0,948.001925854598
18694,20,1000,0,947.9512142933562
18695,20,1000,0,947.9005081572614
18696,20,1000,0,947.8498074454428
18697,20,1000,0,947.7991121570305
18698,20,1000,0,947.7484222911542
18699,20,1000,0,947.6977378469437
18700,20,1000,9900,948.1764705882352
18701,20,1000,0,948.1257686754719
18702,20,1000,0,948.075072184793
18703,20,1000,0,948.0243811153291
18704,20,1000,0,947.9736954662104
18705,20,1000,0,947.9230152365677
18706,20,1000,0,947.8723404255319
18707,20,1000,0,947.8216710322339
18708,20,1000,0,947.7710070558051
18709,20,1000,0,947.7203484953766
18710,20,1000,9900,948.1988241582042
18711,20,1000,0,948.1481481481482
18712,20,1000,0,948.0974775545104
18713,20,1000,0,948.0468123764228
18714,20,1000,0,947.996152613017
18715,20,1000,0,947.9454982634251
18716,20,1000,0,947.8948493267792
18717,20,1000,0,947.844205802212
18718,20,1000,0,947.7935676888557
18719,20,1000,0,947.7429349858432
18720,20,1000,9900,948.2211538461538
18721,20,1000,0,948.1705037124085
18722,20,1000,0,948.1198589894242
18723,20,1000,0,948.0692196763339
18724,20,1000,0,948.0185857722709
18725,20,1000,0,947.9679572763685
18726,20,1000,0,947.9173341877604
18727,20,1000,0,947.8667165055801
18728,20,1000,0,947.816104228962
18729,20,1000,0,947.7654973570399
18730,20,1000,9900,948.2434596903364
18731,20,1000,0,948.1928354065453
18732,20,1000,0,948.1422165278667
18733,20,1000,0,948.0916030534352
18734,20,1000,0,948.040994982385
18735,20,1000,0,947.9903923138511
18736,20,1000,0,947.9397950469684
18737,20,1000,0,947.8892031808721
18738,20,1000,0,947.8386167146974
18739,20,1000,0,947.7880356475799
18740,20,1000,9900,948.2657417289221
18741,20,1000,0,948.215143268769
18742,20,1000,0,948.1645502080888
18743,20,1000,0,948.1139625460172
18744,20,1000,0,948.0633802816901
18745,20,1000,0,948.0128034142438
18746,20,1000,0,947.9622319428145
18747,20,1000,0,947.9116658665387
